,SOURCE,TARGET,ALGOS,SPEED,MAE,MAPE,WAPE
78,ETTm2,ETTm2,Informer,12.88,4.504,0.630,0.287
79,ETTm2,ETTm2,Pyraformer,32.83,7.364,0.892,0.456
80,ETTm2,ETTm2,Crossformer,9.59,3.118,0.339,0.195
81,ETTm2,ETTm2,LSTNet,2.65,13.557,2.746,0.825
82,ETTm2,ETTm2,FEDformer,16.11,2.637,0.217,0.162
83,ETTm2,ETTm2,Autoformer,65.40,2.659,0.214,0.163
84,BeijingAirQuality,BeijingAirQuality,Linear,1.11,24.077,1.653,0.524
85,BeijingAirQuality,BeijingAirQuality,DLinear,1.14,24.240,1.706,0.527
86,BeijingAirQuality,BeijingAirQuality,NLinear,1.10,24.217,0.918,0.531
87,BeijingAirQuality,BeijingAirQuality,PatchTST,1.97,23.272,0.797,0.507
88,BeijingAirQuality,BeijingAirQuality,NHiTS,1.37,24.335,1.368,0.532
89,BeijingAirQuality,BeijingAirQuality,NBEATS,2.05,25.326,1.079,0.568
90,BeijingAirQuality,BeijingAirQuality,Informer,6.52,25.805,1.007,0.574
91,BeijingAirQuality,BeijingAirQuality,Pyraformer,16.76,27.321,1.103,0.612
92,BeijingAirQuality,BeijingAirQuality,Crossformer,4.84,23.315,0.988,0.515
93,BeijingAirQuality,BeijingAirQuality,LSTNet,1.29,43.325,17.839,0.990
94,BeijingAirQuality,BeijingAirQuality,FEDformer,7.89,24.962,0.928,0.544
95,BeijingAirQuality,BeijingAirQuality,Autoformer,37.45,24.149,0.866,0.526
